Designator,Mid X,Mid Y,Rotation,Layer
C1,109.86,-111.22,180.0,bottom
C10,112.706,-96.332,180.0,top
C11,112.772,-98.618,180.0,top
C12,103.36,-109.91,180.0,top
C13,106.159,-71.936,0.0,top
C14,105.651,-69.65,0.0,top
C15,107.88,-93.792,180.0,top
C16,83.380161,-49.972087,270.0,top
C17,85.202161,-50.004087,270.0,top
C18,86.722161,-50.469087,270.0,top
C19,106.437161,-51.049087,180.0,top
C2,88.875,-97.03,90.0,top
C20,117.21,-50.29,90.0,top
C21,103.34,-105.49,180.0,bottom
C22,97.495057,-106.241131,0.0,bottom
C23,89.650057,-98.821131,180.0,bottom
C24,87.055057,-97.591131,180.0,bottom
C25,102.81,-104.14,180.0,bottom
C26,97.068624,-104.748921,180.0,bottom
C27,130.925,-164.475,90.0,top
C28,128.68,-164.45,270.0,top
C29,124.38,-164.45,90.0,top
C3,90.094229,-97.046024,90.0,top
C30,121.87,-164.45,270.0,top
C31,117.5,-164.455,90.0,top
C32,114.99,-164.455,270.0,top
C33,106.55,-123.065,270.0,bottom
C34,106.330057,-101.011131,270.0,bottom
C35,106.45,-98.88,90.0,bottom
C36,107.920057,-101.486131,270.0,bottom
C37,107.9,-98.375,90.0,bottom
C38,92.81,-123.03,270.0,bottom
C39,109.525,-96.055,270.0,bottom
C4,95.800771,-103.503976,180.0,top
C40,73.15,-122.725,270.0,bottom
C41,98.56,-88.06,90.0,bottom
C42,102.530057,-87.541131,0.0,bottom
C43,100.05,-88.585,90.0,bottom
C44,102.985057,-89.071131,0.0,bottom
C45,110.71,-123.02,90.0,top
C46,96.781057,-122.990084,90.0,top
C47,77.1475,-122.715,90.0,top
C48,98.120057,-73.421131,180.0,bottom
C49,110.330057,-73.291131,0.0,bottom
C5,86.2,-97.075,90.0,top
C50,97.565057,-71.761131,180.0,bottom
C51,109.795057,-71.761131,0.0,bottom
C52,98.205771,-80.063976,180.0,top
C53,97.665771,-81.533976,0.0,top
C54,93.494447,-78.272598,270.0,top
C55,103.570771,-80.893976,180.0,top
C56,103.600771,-84.913976,0.0,top
C57,94.900771,-78.843976,270.0,top
C58,91.486159,-87.069723,90.0,top
C59,92.845576,-86.546019,270.0,top
C6,106.825,-110.99,180.0,bottom
C60,98.215771,-85.753976,180.0,top
C61,97.640771,-84.103976,0.0,top
C62,104.324,-94.808,180.0,top
C63,108.953,-83.62,180.0,top
C64,108.953,-85.398,180.0,top
C65,112.095716,-106.635385,90.0,top
C66,93.49,-91.7,270.0,top
C7,87.530771,-97.033976,90.0,top
C8,113.73,-118.645,90.0,bottom
C9,113.76,-113.92,90.0,bottom
D1,90.876818,-70.164343,270.0,top
D10,79.89655,-94.738089,0.0,top
D11,79.928,-89.498,0.0,top
D12,79.9305,-87.678,0.0,top
D13,79.9205,-85.878,0.0,top
D14,79.9405,-84.148,0.0,top
D2,95.644045,-70.012923,90.0,top
D3,105.385771,-113.348976,0.0,top
D4,113.976,-90.49,90.0,top
D5,106.61,-89.36,90.0,top
